Name,Category,Active,URL,Age,DSL,Annotation,Task Language,Deployment,SaaS
Piper,Business Processing,No,https://github.com/runabol/piper,2016-06,No,No,Java,Custom,No
Ploomer,Data Engineering,Yes,https://github.com/ploomber/ploomber,2020-01,YAML,No,Python,Custom,No
Plync,Data Science / ML,No,https://github.com/plynx-team/plynx,2017-11,No,No,Any,Kubernetes,No
Polyaxon,Data Science / ML,Yes,https://github.com/polyaxon/polyaxon,2016-03,YAML,No,Python,Kubernetes,No
Popper,Business Processing,No,https://github.com/getpopper/popper,2015-09,YAML,No,Any,Custom,No
Prefect,Data Engineering,Yes,https://github.com/PrefectHQ/prefect,2021-07,No,Yes,Python,Custom,Yes
Restate,Business Processing,Yes,https://github.com/restatedev/restate,2023-01,No,No,Any,Kubernetes,Yes
rill-flow,Data Science / ML,Yes,https://github.com/weibocom/rill-flow,2023-11,YAML,No,Any,Custom,No
RunDeck,Operations,Yes,https://github.com/rundeck/rundeck,2010-10,No,No,Any,Custom,Yes
SciPipe,Science,No,https://github.com/scipipe/scipipe,2015-03,No,No,Go,Custom,No
Snakemake,Data Engineering,Yes,https://github.com/snakemake/snakemake,2011-11,Custom,No,Any,Custom,No
StackStorm,Business Processing,Yes,https://github.com/StackStorm/st2,2014-05,YAML,No,Any,"Docker, Kubernetes",No
StepWise,Business Processing,Yes,https://github.com/LittleLittleCloud/StepWise,2024-09,No,No,.Net,Custom,No
Titanoboa,Data Engineering,No,https://github.com/commsor/titanoboa,2018-05,No,No,Java,Custom,No
Tork,Business Processing,Yes,https://github.com/runabol/tork,2023-05,YAML,No,Any,Docker,No
utask,Business Processing,Yes,https://github.com/ovh/utask,2019-11,YAML,No,Any,Custom,No
Wexflow,Business Processing,Yes,https://github.com/aelassas/wexflow,2022-10,XML,No,.Net,Custom,No
Windmill,Business Processing,Yes,https://github.com/windmill-labs/windmill,2022-05,No,No,Any,"Docker, Kubernetes",No
YAWL,Business Processing,Yes,https://github.com/yawlfoundation/yawl,2006-05,XML,No,Any,Custom,No
zenml,Data Science / ML,Yes,https://github.com/zenml-io/zenml,2020-11,No,Yes,Python,Custom,No
